% Relation mushroom apres clustering
% Classe 1: 8124 points
%             Point Moyen :0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  
%             Erreur Quadratique : 0.000000
% Relation mushroom apres clustering
% Classe 2: 0 points
%             Point Moyen :0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  
%             Erreur Quadratique : 0.000000
% Relation mushroom apres clustering
% Classe 3: 0 points
%             Point Moyen :0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  
%             Erreur Quadratique : 0.000000
@RELATION mushroom_clusterized
@ATTRIBUTE 'cap-shape' { 'b', 'c', 'f', 'k', 's', 'x'}
@ATTRIBUTE 'cap-surface' { 'f', 'g', 's', 'y'}
@ATTRIBUTE 'cap-color' { 'b', 'c', 'e', 'g', 'n', 'p', 'r', 'u', 'w', 'y'}
@ATTRIBUTE 'bruises?' { 'f', 't'}
@ATTRIBUTE 'odor' { 'a', 'c', 'f', 'l', 'm', 'n', 'p', 's', 'y'}
@ATTRIBUTE 'gill-attachment' { 'a', 'f'}
@ATTRIBUTE 'gill-spacing' { 'c', 'w'}
@ATTRIBUTE 'gill-size' { 'b', 'n'}
@ATTRIBUTE 'gill-color' { 'b', 'e', 'g', 'h', 'k', 'n', 'o', 'p', 'r', 'u', 'w', 'y'}
@ATTRIBUTE 'stalk-shape' { 'e', 't'}
@ATTRIBUTE 'stalk-root' { 'b', 'c', 'e', 'r','ff'}
@ATTRIBUTE 'stalk-surface-above-ring' { 'f', 'k', 's', 'y'}
@ATTRIBUTE 'stalk-surface-below-ring' { 'f', 'k', 's', 'y'}
@ATTRIBUTE 'stalk-color-above-ring' { 'b', 'c','e', 'g', 'n', 'o', 'p', 'w','y'}
@ATTRIBUTE 'stalk-color-below-ring' { 'b', 'c','e', 'g', 'n', 'o', 'p', 'w','y'}
@ATTRIBUTE 'veil-type' { 'p'}
@ATTRIBUTE 'veil-color' { 'n', 'o', 'w', 'y'}
@ATTRIBUTE 'ring-number' { 'n', 'o', 't'}
@ATTRIBUTE 'ring-type' { 'e', 'f', 'l', 'n', 'p'}
@ATTRIBUTE 'spore-print-color' { 'b', 'h', 'k', 'n', 'o', 'r', 'u', 'w', 'y'}
@ATTRIBUTE 'population' { 'a', 'c', 'n', 's', 'v', 'y'}
@ATTRIBUTE 'habitat' { 'd', 'g', 'l', 'm', 'p', 'u', 'w'}
@ATTRIBUTE 'class' { 'e', 'p'}
@ATTRIBUTE mushroom_Class {1,2,3}
@DATA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
